業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	画面要求
清算業務	オーナー清算フロー		会議室別利用履歴を集計する	↓	会議室別利用履歴を集計する	情報	利用履歴			清算担当者が会議室別の利用履歴を集計する	
清算業務	オーナー清算フロー		会議室別利用履歴を集計する	↓	会議室別利用履歴を集計する	条件	売上・利用履歴のオーナー別管理			清算担当者が会議室別の利用履歴を集計する	
清算業務	オーナー清算フロー		会議室別利用履歴を集計する	↓	会議室別利用履歴を集計する	画面	会議室別利用履歴集計画面	アクター	清算担当者	清算担当者が会議室別の利用履歴を集計する	会議室別の利用履歴を清算対象期間で集計でき、清算対象を確認できること
清算業務	オーナー清算フロー		会議室別利用履歴を集計する	↓	会議室別利用履歴を集計する	タイマー	月次			清算担当者が会議室別の利用履歴を集計する	
清算業務	オーナー清算フロー		オーナー清算額を算出する	↓	オーナー清算額を算出する	情報	清算			清算担当者が会議室オーナーへの清算額を算出する	
清算業務	オーナー清算フロー		オーナー清算額を算出する	↓	オーナー清算額を算出する	条件	清算額算出基準			清算担当者が会議室オーナーへの清算額を算出する	
清算業務	オーナー清算フロー		オーナー清算額を算出する	↓	オーナー清算額を算出する	条件	手数料徴収ルール			清算担当者が会議室オーナーへの清算額を算出する	
清算業務	オーナー清算フロー		オーナー清算額を算出する	↓	オーナー清算額を算出する	画面	オーナー清算額算出画面	アクター	清算担当者	清算担当者が会議室オーナーへの清算額を算出する	会議室別利用履歴から清算額と手数料を自動算出でき、算出根拠を確認できること
清算業務	オーナー清算フロー		オーナー清算額を算出する	↓	オーナー清算額を算出する	タイマー	月次			清算担当者が会議室オーナーへの清算額を算出する	
清算業務	オーナー清算フロー		清算額を承認する	↓	清算額を承認する	情報	清算			清算担当者が算出された清算額を承認する	
清算業務	オーナー清算フロー		清算額を承認する	↓	清算額を承認する	条件	オーナー清算月末一括			清算担当者が算出された清算額を承認する	
清算業務	オーナー清算フロー		清算額を承認する	↓	清算額を承認する	画面	清算額承認画面	アクター	清算担当者	清算担当者が算出された清算額を承認する	算出された清算額を確認して承認でき、承認理由と承認者を記録できること
清算業務	オーナー清算フロー		清算額を承認する	↓	清算額を承認する	タイマー	月次			清算担当者が算出された清算額を承認する	
清算業務	オーナー清算フロー		決済機関へ支払指示を送信する	↓	決済機関へ支払指示を送信する	情報	清算			清算担当者が月末に決済機関へオーナー向けの支払指示を送信する	
清算業務	オーナー清算フロー		決済機関へ支払指示を送信する	↓	決済機関へ支払指示を送信する	条件	オーナー清算月末一括			清算担当者が月末に決済機関へオーナー向けの支払指示を送信する	
清算業務	オーナー清算フロー		決済機関へ支払指示を送信する	↓	決済機関へ支払指示を送信する	画面	支払指示送信画面	アクター	清算担当者	清算担当者が月末に決済機関へオーナー向けの支払指示を送信する	承認済み清算額を対象に決済機関への支払指示を送信でき、送信結果と履歴を確認できること
清算業務	オーナー清算フロー		決済機関へ支払指示を送信する	↓	決済機関へ支払指示を送信する	イベント	オーナー向け支払指示	外部システム	決済機関	清算担当者が月末に決済機関へオーナー向けの支払指示を送信する	
清算業務	オーナー清算フロー		決済機関へ支払指示を送信する	↓	決済機関へ支払指示を送信する	タイマー	月次			清算担当者が月末に決済機関へオーナー向けの支払指示を送信する	
清算業務	オーナー清算フロー		オーナーへの支払を確認する		オーナー支払結果を確認する	情報	清算			会議室オーナーが決済機関経由での支払着金を確認する	
清算業務	オーナー清算フロー		オーナーへの支払を確認する		オーナー支払結果を確認する	画面	オーナー支払結果確認画面	アクター	会議室オーナー	会議室オーナーが決済機関経由での支払着金を確認する	決済機関経由で支払われた清算額と入金日を確認でき、支払明細を参照できること
清算業務	オーナー清算フロー		オーナーへの支払を確認する		オーナー支払結果を確認する	イベント	オーナー支払結果通知	外部システム	決済機関	会議室オーナーが決済機関経由での支払着金を確認する	
決済業務	利用料引落フロー		利用完了を確認する	↓	会議室利用完了を確認する	情報	予約			清算担当者が会議室の利用完了を確認する	
決済業務	利用料引落フロー		利用完了を確認する	↓	会議室利用完了を確認する	情報	貸出			清算担当者が会議室の利用完了を確認する	
決済業務	利用料引落フロー		利用完了を確認する	↓	会議室利用完了を確認する	条件	会議室利用終了成立条件			清算担当者が会議室の利用完了を確認する	
決済業務	利用料引落フロー		利用完了を確認する	↓	会議室利用完了を確認する	画面	会議室利用完了確認画面	アクター	清算担当者	清算担当者が会議室の利用完了を確認する	利用完了した予約を一覧で確認し、利用完了ステータスへ切り替えられること
決済業務	利用料引落フロー		利用完了を確認する	↓	会議室利用完了を確認する	タイマー	日次			清算担当者が会議室の利用完了を確認する	
決済業務	利用料引落フロー		利用料を算出する	↓	利用料を算出する	情報	予約			清算担当者が利用者への請求額（利用料）を算出する	
決済業務	利用料引落フロー		利用料を算出する	↓	利用料を算出する	情報	清算			清算担当者が利用者への請求額（利用料）を算出する	
決済業務	利用料引落フロー		利用料を算出する	↓	利用料を算出する	条件	利用料引落の実行主体			清算担当者が利用者への請求額（利用料）を算出する	
決済業務	利用料引落フロー		利用料を算出する	↓	利用料を算出する	画面	利用料算出画面	アクター	清算担当者	清算担当者が利用者への請求額（利用料）を算出する	予約内容と料金プランから利用料を自動算出でき、算出根拠を確認できること
決済業務	利用料引落フロー		利用料を算出する	↓	利用料を算出する	タイマー	日次			清算担当者が利用者への請求額（利用料）を算出する	
決済業務	利用料引落フロー		決済機関へ引落指示を送信する	↓	決済機関へ引落指示を送信する	情報	決済手段			清算担当者が決済機関へ利用料の引落指示を送信する	
決済業務	利用料引落フロー		決済機関へ引落指示を送信する	↓	決済機関へ引落指示を送信する	情報	清算			清算担当者が決済機関へ利用料の引落指示を送信する	
決済業務	利用料引落フロー		決済機関へ引落指示を送信する	↓	決済機関へ引落指示を送信する	条件	利用料引落の実行主体			清算担当者が決済機関へ利用料の引落指示を送信する	
決済業務	利用料引落フロー		決済機関へ引落指示を送信する	↓	決済機関へ引落指示を送信する	画面	引落指示送信画面	アクター	清算担当者	清算担当者が決済機関へ利用料の引落指示を送信する	利用料の引落指示を決済機関へ送信でき、送信対象と送信結果を確認できること
決済業務	利用料引落フロー		決済機関へ引落指示を送信する	↓	決済機関へ引落指示を送信する	イベント	利用料引落指示	外部システム	決済機関	清算担当者が決済機関へ利用料の引落指示を送信する	
決済業務	利用料引落フロー		決済機関へ引落指示を送信する	↓	決済機関へ引落指示を送信する	タイマー	日次			清算担当者が決済機関へ利用料の引落指示を送信する	
決済業務	利用料引落フロー		引落結果を確認する	↓	引落結果を確認する	情報	決済手段			清算担当者が決済機関からの引落結果を確認する	
決済業務	利用料引落フロー		引落結果を確認する	↓	引落結果を確認する	情報	清算			清算担当者が決済機関からの引落結果を確認する	
決済業務	利用料引落フロー		引落結果を確認する	↓	引落結果を確認する	画面	引落結果確認画面	アクター	清算担当者	清算担当者が決済機関からの引落結果を確認する	決済機関からの引落結果を一覧で確認でき、成功・失敗ステータスを把握できること
決済業務	利用料引落フロー		引落結果を確認する	↓	引落結果を確認する	イベント	引落結果通知	外部システム	決済機関	清算担当者が決済機関からの引落結果を確認する	
決済業務	利用料引落フロー		引落結果を確認する	↓	引落結果を確認する	タイマー	日次			清算担当者が決済機関からの引落結果を確認する	
決済業務	利用料引落フロー		引落失敗時の再請求を行う		引落失敗を記録し再請求する	情報	決済手段			引落が失敗した場合に再請求などのイレギュラー対応を実施する	
決済業務	利用料引落フロー		引落失敗時の再請求を行う		引落失敗を記録し再請求する	情報	清算			引落が失敗した場合に再請求などのイレギュラー対応を実施する	
決済業務	利用料引落フロー		引落失敗時の再請求を行う		引落失敗を記録し再請求する	情報	予約			引落が失敗した場合に再請求などのイレギュラー対応を実施する	
決済業務	利用料引落フロー		引落失敗時の再請求を行う		引落失敗を記録し再請求する	条件	決済失敗時の取扱い			引落が失敗した場合に再請求などのイレギュラー対応を実施する	
決済業務	利用料引落フロー		引落失敗時の再請求を行う		引落失敗を記録し再請求する	画面	引落失敗対応画面	アクター	清算担当者	引落が失敗した場合に再請求などのイレギュラー対応を実施する	引落失敗した予約を抽出し、失敗原因の記録と再請求操作ができること
決済業務	利用料引落フロー		引落失敗時の再請求を行う		引落失敗を記録し再請求する	イベント	引落失敗通知	外部システム	決済機関	引落が失敗した場合に再請求などのイレギュラー対応を実施する	
